food_id,name_ko,category,subcategory,serving_size_g,carbs_g,fiber_g,avail_carb_g,gi,gi_source,gi_confidence,gi_ref,gi_note,gl_per_serving
FC-0083,그린티 라떼 (톨),franchise,커피,355,38.0,0.5,37.5,60,db_estimated,low,estimate: 우유37(Atkinson2008) + 가당 파우더(설탕),직접 측정치 없음,22.5
FC-0090,공차 흑당 밀크티 (M),franchise,음료,450,65.0,0.0,65.0,65,db_estimated,low,"estimate: 흑당시럽(sucrose 65, Atkinson2008) + 우유",※ 타피오카 펄 포함 시 상향,42.2
FC-0092,이디야 토피넛라떼,franchise,커피,400,42.0,0.0,42.0,60,db_estimated,low,estimate: 우유37(Atkinson2008) + 시럽(설탕),직접 측정치 없음,25.2
FC-0100,슈퍼 디럭스 (1조각),franchise,피자,130,32.0,2.0,30.0,60,db_measured,low,Atkinson2008 pizza 60,토핑 편차,18.0
FC-0101,포테이토 피자 (1조각),franchise,피자,130,35.0,1.5,33.5,65,db_estimated,low,estimate: 피자60(Atkinson2008) + 감자토핑(고GI),직접 측정치 없음,21.8
FC-0102,치즈 크러스트 (1조각),franchise,피자,140,32.0,1.5,30.5,60,db_measured,low,Atkinson2008 pizza 60,토핑 편차,18.3
FP-0001,크림 파스타,foreign_popular,파스타,350,72.0,2.5,69.5,50,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 크림(지방),직접 측정치 없음,34.8
FP-0002,토마토 파스타,foreign_popular,파스타,350,75.0,4.0,71.0,50,db_measured,med,"Atkinson2008 spaghetti, white, boiled 49",토마토 소스는 GI 영향 작음,35.5
FP-0003,오일 파스타 (알리오올리오),foreign_popular,파스타,300,65.0,2.5,62.5,48,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 올리브유,직접 측정치 없음,30.0
FP-0004,카르보나라,foreign_popular,파스타,350,70.0,2.0,68.0,48,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 계란/베이컨(지방),직접 측정치 없음,32.6
FP-0005,봉골레 파스타,foreign_popular,파스타,350,65.0,2.0,63.0,48,db_estimated,low,estimate: 스파게티49(Atkinson2008),직접 측정치 없음,30.2
FP-0006,로제 파스타,foreign_popular,파스타,350,72.0,3.0,69.0,50,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 토마토/크림,직접 측정치 없음,34.5
FP-0010,미트소스 파스타,foreign_popular,파스타,380,72.0,3.0,69.0,50,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 미트소스,직접 측정치 없음,34.5
FP-0011,트러플 크림 파스타,foreign_popular,파스타,350,68.0,2.0,66.0,48,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 크림,직접 측정치 없음,31.7
FP-0012,해물 토마토 파스타,foreign_popular,파스타,380,68.0,3.5,64.5,50,db_estimated,low,estimate: 스파게티49(Atkinson2008) + 토마토,직접 측정치 없음,32.2
FP-0030,초밥 (모듬 10피스),foreign_popular,일식,300,58.0,1.0,57.0,50,db_measured,med,Atkinson2008 sushi 48-55,초밥(식초밥) 국제표 48-55,28.5
FP-0031,연어 초밥 (2피스),foreign_popular,일식,60,12.0,0.0,12.0,50,db_measured,med,"Atkinson2008 sushi, salmon 48",,6.0
FP-0032,돈카츠,foreign_popular,일식,200,25.0,1.5,23.5,60,db_estimated,low,estimate: 빵가루 튀김옷 + 돼지등심(단백질/지방),직접 측정치 없음,14.1
FP-0033,라멘 (돈코츠),foreign_popular,일식,550,65.0,2.0,63.0,55,db_estimated,low,estimate: 밀면50(LimBJN2019) + 돈코츠 국물(지방),직접 측정치 없음,34.6
FP-0034,라멘 (쇼유),foreign_popular,일식,500,60.0,2.0,58.0,55,db_estimated,low,estimate: 밀면50(LimBJN2019),직접 측정치 없음,31.9
FP-0035,우동,foreign_popular,일식,400,62.0,1.5,60.5,62,db_measured,med,Atkinson2008 udon noodles 62,,37.5
FP-0036,규동 (소고기덮밥),foreign_popular,일식,400,70.0,1.5,68.5,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 소고기/양념,직접 측정치 없음,48.0
FP-0037,카츠동 (돈카츠덮밥),foreign_popular,일식,450,75.0,2.0,73.0,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 돈카츠,직접 측정치 없음,51.1
FP-0038,타코야끼 (6개),foreign_popular,일식,180,32.0,1.0,31.0,65,db_estimated,low,estimate: 밀가루 반죽 + 소스(설탕),직접 측정치 없음,20.1
FP-0039,에다마메,foreign_popular,일식,100,9.0,5.0,4.0,18,db_measured,med,"Atkinson2008 soybeans, boiled 18",에다마메 = 풋대두,0.7
FP-0040,사케동 (연어덮밥),foreign_popular,일식,350,60.0,1.0,59.0,68,db_estimated,low,estimate: 초밥밥50 ~ 백미70(LimBJN2019) 중간,직접 측정치 없음,40.1
FP-0041,회덮밥,foreign_popular,일식,400,58.0,2.0,56.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 회/채소,직접 측정치 없음,38.1
FP-0042,소바 (냉),foreign_popular,일식,300,58.0,2.5,55.5,54,db_measured,med,Atkinson2008 buckwheat (soba) noodles 54,,30.0
FP-0043,오코노미야끼,foreign_popular,일식,250,40.0,2.0,38.0,65,db_estimated,low,estimate: 밀가루 반죽 + 소스(설탕),직접 측정치 없음,24.7
FP-0060,탕수육,foreign_popular,중식,250,40.0,1.0,39.0,70,db_estimated,low,estimate: 전분 튀김옷 + 설탕/식초 소스,직접 측정치 없음,27.3
FP-0061,깐풍기,foreign_popular,중식,200,22.0,1.0,21.0,65,db_estimated,low,estimate: 전분 튀김옷 + 단맛 소스,직접 측정치 없음,13.7
FP-0062,마파두부,foreign_popular,중식,250,12.0,2.0,10.0,55,db_estimated,low,estimate: 전분물 + 두부(저GI),직접 측정치 없음,5.5
FP-0063,볶음밥 (중식),foreign_popular,중식,300,62.0,1.5,60.5,73,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 기름,직접 측정치 없음,44.2
FP-0065,마라탕,foreign_popular,중식,500,25.0,3.0,22.0,55,db_estimated,low,estimate: 당면60(LimBJN2019) + 채소/육류 희석,직접 측정치 없음,12.1
FP-0066,마라샹궈,foreign_popular,중식,400,20.0,4.0,16.0,55,db_estimated,low,estimate: 채소/육류 + 전분,직접 측정치 없음,8.8
FP-0068,딤섬 (하가우 4개),foreign_popular,중식,120,18.0,0.5,17.5,60,db_estimated,low,estimate: 밀/전분 피,직접 측정치 없음,10.5
FP-0080,쌀국수 (포),foreign_popular,동남아,500,50.0,1.5,48.5,58,db_measured,low,"Atkinson2008 rice noodles, dried, boiled 53-61",쌀국수 국제표 53-61 중앙,28.1
FP-0081,팟타이,foreign_popular,동남아,300,55.0,2.0,53.0,60,db_estimated,low,estimate: 쌀국수58(Atkinson2008) + 팟타이 소스(설탕),직접 측정치 없음,31.8
FP-0082,똠양꿍,foreign_popular,동남아,350,12.0,1.0,11.0,50,db_estimated,low,estimate: 탄수 대부분 양념/코코넛밀크 유래,※ 가용탄수 11g → GL 영향 작음,5.5
FP-0083,카오팟 (태국볶음밥),foreign_popular,동남아,300,58.0,1.0,57.0,73,db_estimated,low,estimate: 자스민쌀 볶음밥(Atkinson2008 jasmine rice 고GI) + 기름 희석,※ 편차 큼,41.6
FP-0084,나시고렝,foreign_popular,동남아,300,60.0,2.0,58.0,73,db_estimated,low,estimate: 볶음밥계,직접 측정치 없음,42.3
FP-0085,카오 쏘이,foreign_popular,동남아,400,45.0,2.0,43.0,60,db_estimated,low,estimate: 에그누들 + 코코넛커리,직접 측정치 없음,25.8
FP-0086,반미 샌드위치,foreign_popular,동남아,250,42.0,2.0,40.0,70,db_estimated,low,estimate: 바게트(Atkinson2008 baguette 고GI) + 속재료 희석,※ 편차 큼,28.0
FP-0100,햄버거 (클래식),foreign_popular,양식,200,35.0,1.5,33.5,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 패티(단백/지방 희석),햄버거 직접 측정치 없음,22.1
FP-0101,치즈버거,foreign_popular,양식,220,36.0,1.5,34.5,66,db_estimated,low,estimate: 흰빵 번75(Atkinson2008) + 패티/치즈,직접 측정치 없음,22.8
FP-0102,피자 (1조각 페퍼로니),foreign_popular,양식,110,30.0,1.5,28.5,60,db_measured,low,"Atkinson2008 pizza, cheese 60 (범위 30-80)",토핑에 따라 편차 큼,17.1
FP-0103,피자 (1조각 마르게리타),foreign_popular,양식,110,28.0,1.5,26.5,60,db_measured,low,"Atkinson2008 pizza, cheese 60",토핑에 따라 편차 큼,15.9
FP-0105,피시앤칩스,foreign_popular,양식,300,50.0,2.0,48.0,65,db_estimated,low,estimate: 감자튀김63(Atkinson2008) + 튀김옷 생선,직접 측정치 없음,31.2
FP-0106,시저 샐러드 (레스토랑),foreign_popular,양식,300,14.0,3.0,11.0,50,db_estimated,low,estimate: 크루통(흰빵) + 채소(저GI),※ 가용탄수 11g,5.5
FP-0107,감자튀김 (미디엄),foreign_popular,양식,150,48.0,3.5,44.5,63,db_measured,med,Atkinson2008 french fries 63 (범위 54-75),조리·품종 편차 큼,28.0
FP-0108,타코 (비프),foreign_popular,양식,150,22.0,2.5,19.5,60,db_estimated,low,estimate: 옥수수 또띠아 + 비프,직접 측정치 없음,11.7
FP-0109,브리또,foreign_popular,양식,350,60.0,6.0,54.0,60,db_estimated,low,estimate: 밀 또띠아 + 밥/콩(저GI),직접 측정치 없음,32.4
FP-0110,치킨 너겟 (10개),foreign_popular,양식,180,28.0,1.0,27.0,46,db_measured,med,"Atkinson2008 chicken nuggets, frozen, reheated 46",,12.4
FP-0112,리조또 (버섯),foreign_popular,양식,350,55.0,2.0,53.0,69,db_measured,low,"Atkinson2008 rice, arborio (risotto) 69",아르보리오 쌀 기준,36.6
FP-0113,그라탕,foreign_popular,양식,300,28.0,1.5,26.5,60,db_estimated,low,estimate: 밀가루 베샤멜 + 치즈(지방),직접 측정치 없음,15.9
FP-0130,에그 베네딕트,foreign_popular,브런치,250,28.0,1.0,27.0,65,db_estimated,low,estimate: 잉글리시머핀(Atkinson2008 77) + 계란/홀랜다이즈(지방),직접 측정치 없음,17.6
FP-0131,프렌치 토스트,foreign_popular,브런치,150,42.0,1.0,41.0,70,db_estimated,low,estimate: 흰빵75(Atkinson2008) + 계란/시럽,직접 측정치 없음,28.7
FP-0132,팬케이크 (3장),foreign_popular,브런치,200,62.0,1.5,60.5,67,db_measured,med,Atkinson2008 pancakes 66-67,,40.5
FP-0133,아사이볼,foreign_popular,브런치,300,60.0,8.0,52.0,45,db_estimated,low,estimate: 과일/베리(저GI) + 그래놀라(중GI),직접 측정치 없음,23.4
FP-0134,와플,foreign_popular,브런치,150,48.0,1.0,47.0,76,db_measured,med,Atkinson2008 waffles 76,,35.7
FP-0135,스무디볼,foreign_popular,브런치,350,55.0,6.0,49.0,45,db_estimated,low,estimate: 과일 지배(저GI),직접 측정치 없음,22.1
FP-0136,크로플,foreign_popular,브런치,120,35.0,1.0,34.0,70,db_estimated,low,estimate: 크로와상67(Atkinson2008) + 설탕/시럽,직접 측정치 없음,23.8
FP-0150,버터 치킨 커리,foreign_popular,인도,300,18.0,2.0,16.0,55,db_estimated,low,estimate: 탄수 = 소스(토마토/크림/설탕),※ 가용탄수 16g,8.8
FP-0151,난 (1장),foreign_popular,인도,90,42.0,1.5,40.5,70,db_estimated,low,"estimate: 흰 밀가루 플랫브레드(빵류 65-75, Atkinson2008)",난 직접 측정치 없음,28.4
FP-0155,케밥,foreign_popular,기타,300,35.0,3.0,32.0,65,db_estimated,low,estimate: 밀 플랫브레드 + 육류/채소,직접 측정치 없음,20.8
KR-0001,흰쌀밥,korean,밥류,210,68.7,0.5,68.2,70,db_measured,high,LimBJN2019; RDA-KHU2015,"한국 단립종 쌀밥 in-vivo 69.9±5.7(RDA-KHU2015). LimBJN2019: 백미 조리법별 51-93, 찐 백미=medium대. ※ 국제표 boiled white rice 평균 73과 정합. 검증패킷 v1의 84는 1차 출처 없음",47.7
KR-0002,현미밥,korean,밥류,210,65.2,2.8,62.4,68,db_measured,high,Atkinson2008,"Rice, brown, boiled — 국제표 평균 68",42.4
KR-0003,잡곡밥,korean,밥류,210,63.5,3.2,60.3,57,db_estimated,med,estimate: 백미70(LimBJN2019) + 보리50(LimBJN2019) + 현미68(Atkinson2008) 가중,잡곡 배합비 미상 → 3곡 가중 추정,34.4
KR-0004,보리밥,korean,밥류,210,63.0,4.0,59.0,50,db_measured,med,LimBJN2019,보리 조리법별 35-70; 보리밥 중앙 ~50,29.5
KR-0005,비빔밥,korean,밥류,450,78.0,4.5,73.5,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배 + 채소/고추장 희석,비빔밥 직접 측정치 없음,50.0
KR-0006,김밥 (1줄),korean,밥류,250,62.0,2.0,60.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 식초/김/채소,김밥 직접 측정치 없음(식초 → 소폭 하향),40.8
KR-0007,김치볶음밥,korean,밥류,300,65.0,2.5,62.5,73,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 기름/설탕,볶음밥 직접 측정치 없음,45.6
KR-0008,참치김밥 (1줄),korean,밥류,260,60.0,2.0,58.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 마요/참치(지방),직접 측정치 없음,39.4
KR-0009,볶음밥,korean,밥류,300,63.0,1.5,61.5,73,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 기름,직접 측정치 없음,44.9
KR-0010,오므라이스,korean,밥류,350,62.0,1.5,60.5,73,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 케첩(당),직접 측정치 없음,44.2
KR-0011,죽 (호박죽),korean,죽류,300,38.0,1.5,36.5,75,db_estimated,low,estimate: 쌀죽 92.5(RDA-KHU2015) + 호박(저GI) 희석,호박죽 직접 측정치 없음,27.4
KR-0012,죽 (전복죽),korean,죽류,300,35.0,0.5,34.5,88,db_estimated,med,estimate: 쌀죽 92.5(RDA-KHU2015) + 부재료 희석,죽=고GI 확립(RDA 쌀죽 92.5±8.8),30.4
KR-0013,죽 (닭죽),korean,죽류,300,33.0,0.5,32.5,88,db_estimated,med,estimate: 쌀죽 92.5(RDA-KHU2015) + 닭고기 희석,죽=고GI 확립,28.6
KR-0020,콩나물밥,korean,밥류,300,62.0,3.0,59.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 콩나물,직접 측정치 없음,40.1
KR-0021,솥밥 (버섯),korean,밥류,350,70.0,3.0,67.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 버섯,직접 측정치 없음,45.6
KR-0022,카레라이스,korean,밥류,400,72.0,3.0,69.0,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 카레루(전분),직접 측정치 없음,48.3
KR-0023,돌솥비빔밥,korean,밥류,500,82.0,5.0,77.0,68,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 채소,직접 측정치 없음,52.4
KR-0024,치킨마요밥,korean,밥류,350,65.0,1.0,64.0,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) + 마요/소스,직접 측정치 없음,44.8
KR-0053,부대찌개,korean,찌개류,500,25.0,3.0,22.0,55,db_estimated,low,estimate: 라면사리56(LimBJN2019) + 햄/채소,부대찌개 직접 측정치 없음,12.1
KR-0057,떡국,korean,국류,450,55.0,1.0,54.0,65,db_estimated,low,estimate: 가래떡 50.6(RDA-KHU2015) + 재가열(호화 상승),※ RDA 가래떡(냉각·노화전분) 50.6 vs 뜨겁게 조리한 떡국은 상향. 실측 필요,35.1
KR-0058,삼계탕,korean,탕류,600,30.0,1.0,29.0,80,db_estimated,low,"estimate: 찹쌀(고GI, LimBJN2019) 지배",※ 삼계탕 직접 측정치 없음,23.2
KR-0059,감자탕,korean,탕류,500,22.0,3.0,19.0,65,db_estimated,low,"estimate: 감자(78, Atkinson2008) + 국물 희석",직접 측정치 없음,12.3
KR-0060,설렁탕,korean,탕류,500,15.0,0.5,14.5,70,db_estimated,low,estimate: 소면50 / 밥70(LimBJN2019) 포함,※ 구성 가변,10.2
KR-0061,갈비탕,korean,탕류,500,12.0,0.5,11.5,60,db_estimated,low,estimate: 당면60(LimBJN2019),※ 가용탄수 11.5g,6.9
KR-0063,순대국밥,korean,탕류,500,42.0,2.0,40.0,70,db_estimated,low,estimate: 백미밥70(LimBJN2019) 지배,직접 측정치 없음,28.0
KR-0064,해장국,korean,탕류,450,15.0,2.0,13.0,65,db_estimated,low,estimate: 밥/콩나물 혼합,※ 구성 가변,8.4
KR-0071,청국장,korean,찌개류,400,14.0,4.0,10.0,30,db_estimated,low,"estimate: 대두(soybeans 18, Atkinson2008) 발효 + 채소",※ 가용탄수 10g,3.0
KR-0074,뼈해장국,korean,탕류,500,18.0,2.0,16.0,60,db_estimated,low,estimate: 감자/우거지,직접 측정치 없음,9.6
KR-0075,매운탕,korean,탕류,450,12.0,2.0,10.0,55,db_estimated,low,estimate: 채소/전분 양념,※ 가용탄수 10g,5.5
KR-0101,불고기,korean,육류,200,12.0,0.5,11.5,65,db_estimated,low,"estimate: 탄수 = 설탕/배 양념(sucrose 65, Atkinson2008)",고기 자체는 GI 무의미,7.5
